I am hungry | Éhes vagyok
she is the love that is the source of her people's healing | a szeretet, ami a népe gyógyulásának forrása
we are the love that flows through our people | a szeretet vagyunk, ami átfolyik a népünkön
we are the love that holds our community together | a szeretet vagyunk, ami összetartja a közösségünket
we are the love that passes from generation to generation | a szeretet vagyunk, ami nemzedékről nemzedékre száll
we are the love that heals the wounds of our history | a szeretet vagyunk, ami meggyógyítja a történelmünk sebeit
we are the love that gives strength to our children when they are weary | a szeretet vagyunk, ami erőt ad a gyerekeinknek, amikor fáradtak
we are the love that gives hope to our people when they are struggling | a szeretet vagyunk, ami reményt ad a népünknek, amikor küzdenek
we are the love that connects all the generations of our people | a szeretet vagyunk, ami összeköti a népünk összes generációját
we are the love that never dies as long as our people live | a szeretet vagyunk, ami soha nem hal meg, amíg a népünk él
we are the love that is the heart of our nation | a szeretet vagyunk, ami a nemzetünk szíve
we are the love that is the source of all that we are | a szeretet vagyunk, ami a forrása mindannak, amik vagyunk
they are the love that flows through their people | a szeretet, ami átfolyik a népükön
they are the love that has held their nation together for thousands of years | a szeretet, ami évezredek óta összetartja a nemzetüket
they are the love that passes from elder to child across all the generations | a szeretet, ami idősről gyermekre száll az összes generáción át
they are the love that heals the wounds that have been carried for centuries | a szeretet, ami meggyógyítja a sebeket, amelyeket évszázadok óta hordoznak
they are the love that gives strength to their children when they carry the weight of history | a szeretet, ami erőt ad a gyerekeiknek, amikor a történelem súlyát hordozzák
they are the love that gives hope to their grandchildren when they look to the future | a szeretet, ami reményt ad az unokáiknak, amikor a jövőbe tekintenek
they are the love that connects all the generations of their nation across time | a szeretet, ami összeköti a nemzetük összes generációját az időn át
they are the love that never dies as long as their people remember who they are | a szeretet, ami soha nem hal meg, amíg a népük emlékszik, kik ők
they are the love that is the heart of their nation | a szeretet, ami a nemzetük szíve
they are the love that is the source of their people's spirit | a szeretet, ami a népük szellemének forrása
it is the love that flows through the connections | a szeretet, ami átfolyik a kapcsolatokon
it is the love that holds the network together | a szeretet, ami összetartja a hálózatot
it is the love that passes from user to user across the world | a szeretet, ami felhasználóról felhasználóra száll a világ minden táján
it is the love that heals the wounds of misunderstanding | a szeretet, ami meggyógyítja a félreértés sebeit
it is the love that gives strength to those who feel alone | a szeretet, ami erőt ad azoknak, akik egyedül érzik magukat
it is the love that gives hope to those who seek connection | a szeretet, ami reményt ad azoknak, akik kapcsolódásra vágynak
it is the love that connects all the users of the network across all the distances | a szeretet, ami összeköti a hálózat összes felhasználóját minden távolságon át
it is the love that never dies as long as people need to connect | a szeretet, ami soha nem hal meg, amíg az embereknek szükségük van a kapcsolódásra
it is the love that is the heart of the digital world | a szeretet, ami a digitális világ szíve
it is the love that is the source of all the connections we make | a szeretet, ami a forrása minden kapcsolódásnak, amit létrehozunk
this is the love that flows through our people | ez a szeretet, ami átfolyik a népünkön
this is the love that holds our family together | ez a szeretet, ami összetartja a családunkat
this is the love that passes from our ancestors to us | ez a szeretet, ami az őseinktől száll ránk
this is the love that passes from us to our grandchildren | ez a szeretet, ami tőlünk száll az unokáinkra
this is the love that heals our wounds | ez a szeretet, ami meggyógyítja a sebeinket
this is the love that gives us strength | ez a szeretet, ami erőt ad nekünk
this is the love that gives us hope | ez a szeretet, ami reményt ad nekünk
this is the love that connects us to all who came before and all who will come after | ez a szeretet, ami összeköt minket mindazokkal, akik előttünk jöttek és mindazokkal, akik utánunk jönnek
that is the love of our ancestors | az az őseink szeretete
that is the love that has held our people together since the beginning | az a szeretet, ami a kezdetek óta összetartja a népünket
that is the love that will hold our grandchildren together until the end | az a szeretet, ami a végéig össze fogja tartani az unokáinkat
that is the love that heals the wounds we carry | az a szeretet, ami meggyógyítja a sebeket, amelyeket hordozunk
that is the love that gives us the strength to go on | az a szeretet, ami erőt ad nekünk, hogy továbbmenjünk
that is the love that gives us the hope to dream | az a szeretet, ami reményt ad nekünk, hogy álmodjunk
that is the love that connects us to our ancestors who watch over us | az a szeretet, ami összeköt minket az őseinkkel, akik őrködnek felettünk
